phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://agents.kujolang.ai/agents/sitrep-agent/,content/agents/sitrep-agent.md,agent,Publish the operating contract for the SITREP Agent agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,SITREP Agent agent,SITREP Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,SITREP Agent,h1:SITREP Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,329,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/social-community-editor/,content/agents/social-community-editor.md,agent,Publish the operating contract for the Social & Community Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Social & Community Editor agent,Social & Community Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Social & Community Editor,h1:Social & Community Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,546,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/spec-writer/,content/agents/spec-writer.md,agent,Publish the operating contract for the Spec Writer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Spec Writer agent,Spec Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Spec Writer,h1:Spec Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,366,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/standards-evidence-editor/,content/agents/standards-evidence-editor.md,agent,Publish the operating contract for the Standards & Evidence Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Standards & Evidence Editor agent,Standards & Evidence Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Standards & Evidence Editor,h1:Standards & Evidence Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,544,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/systems-architect/,content/agents/systems-architect.md,agent,Publish the operating contract for the Systems Architect agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Systems Architect agent,Systems Architect AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Systems Architect,h1:Systems Architect | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,393,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/technical-editor-writer/,content/agents/technical-editor-writer.md,agent,Publish the operating contract for the Technical Editor & Writer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Technical Editor & Writer agent,Technical Editor & Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Technical Editor & Writer,h1:Technical Editor & Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,538,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/technical-seo-auditor/,content/agents/technical-seo-auditor.md,agent,Publish the operating contract for the Technical SEO Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Technical SEO Auditor agent,Technical SEO Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Technical SEO Auditor,h1:Technical SEO Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,602,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/test-runner/,content/agents/test-runner.md,agent,Publish the operating contract for the Test Runner agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Test Runner agent,Test Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Test Runner,h1:Test Runner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,305,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/tooling-developer/,content/agents/tooling-developer.md,agent,Publish the operating contract for the Tooling Developer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Tooling Developer agent,Tooling Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Tooling Developer,h1:Tooling Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,379,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/trend-scout/,content/agents/trend-scout.md,agent,Publish the operating contract for the Trend Scout agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Trend Scout agent,Trend Scout AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Trend Scout,h1:Trend Scout | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,603,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/triage-agent/,content/agents/triage-agent.md,agent,Publish the operating contract for the Triage Agent agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Triage Agent agent,Triage Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Triage Agent,h1:Triage Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,777,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/video-audio-producer/,content/agents/video-audio-producer.md,agent,Publish the operating contract for the Video & Audio Producer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Video & Audio Producer agent,Video & Audio Producer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Video & Audio Producer,h1:Video & Audio Producer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,564,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/visual-qa-agent/,content/agents/visual-qa-agent.md,agent,Publish the operating contract for the Visual QA Agent agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Visual QA Agent agent,Visual QA Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Visual QA Agent,h1:Visual QA Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,401,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/webops/,templates/page-agent-set.html,listing,Help readers browse and compare source-grounded agent roles.,Informational and navigational,Developers and technical leads assembling agent teams,WebOps,WebOps agent roles,agent responsibilities; orchestration; planning; implementation; verification,WebOps,h1:WebOps,697,,,Repository-generated inventory and direct links to source contracts.,The listing explains roles through excerpts but has no selection guide or real usage examples.,,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/webops-reporter/,content/agents/webops-reporter.md,agent,Publish the operating contract for the WebOps Reporter agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,WebOps Reporter agent,WebOps Reporter AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,WebOps Reporter,h1:WebOps Reporter | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,628,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/,templates/page-home.html,home,Introduce the Kujo Agents library and route readers to agent sets and source contracts.,Branded informational and navigational,Developers and teams designing auditable multi-agent workflows,Kujo Agents,Kujo AI agent library,AI agent contracts; chain of command; specialized agent roles,Kujo Agents,h1:Kujo Agents | h2:Chain of Command | h2:WebOps | h2:Publishing House,1909,,,Repository-generated inventory and direct links to source contracts.,No adoption examples or measured outcomes are published.,,Keep the overview concise; add real adoption examples only when evidence exists.
after,https://agents.kujolang.ai/publishing-house-system/,,home,Introduce the Kujo Agents library and route readers to agent sets and source contracts.,Branded informational and navigational,Developers and teams designing auditable multi-agent workflows,Kujo Agents,Kujo AI agent library,AI agent contracts; chain of command; specialized agent roles,Kujo Publishing House System,"h1:Kujo Publishing House System | h2:One house, explicit ownership | h2:Eight record-owning tools | h2:Eleven lifecycle workflows | h2:Eleven operator skills | h2:The approval boundary | h2:Run the complete local proof",580,,,Repository-generated inventory and direct links to source contracts.,No adoption examples or measured outcomes are published.,,Keep the overview concise; add real adoption examples only when evidence exists.
